id,run_id,"('Parameter', 'vadere', 'fixedSeed')","('Parameter', 'vadere', 'reactionProbabilities.[stimulusId==-400].reactionProbability')","('MetaInfo', 'required_wallclock_time')","('MetaInfo', 'return_code')"
57,0,61601,1.0,184.63034319877625,0
58,0,8519,1.0,175.7106385231018,0
59,0,85588,1.0,175.1715874671936,0
60,0,76618,1.0,183.67563247680664,0
61,0,42558,1.0,178.44485306739807,0
62,0,65788,1.0,176.6389124393463,0
63,0,20503,1.0,177.56801176071167,0
64,0,29400,1.0,181.2346510887146,0
65,0,54116,1.0,156.73189043998718,0
66,0,31245,1.0,176.64937782287598,0
67,0,4840,1.0,178.16709923744202,0
68,0,4162,1.0,129.0587227344513,0
69,0,65091,1.0,181.0679497718811,0
70,0,39475,1.0,158.588045835495,0
71,0,79519,1.0,182.59531784057617,0
72,0,86232,1.0,180.5917227268219,0
73,0,9442,1.0,176.32214498519897,0
74,0,69925,1.0,174.91887426376343,0
75,0,10611,1.0,188.29194736480713,0
76,0,19620,1.0,173.33273911476135,0
77,0,50387,1.0,181.44235181808472,0
78,0,74349,1.0,180.0346598625183,0
79,0,49044,1.0,175.31963753700256,0
80,0,78815,1.0,185.6737298965454,0
81,0,19617,1.0,175.3371171951294,0
82,0,14801,1.0,183.13048553466797,0
83,0,12663,1.0,178.14321279525757,0
84,0,57875,1.0,177.12081599235535,0
85,0,21806,1.0,180.66206765174866,0
86,0,25026,1.0,170.35246300697327,0
87,0,45703,1.0,179.02701497077942,0
88,0,56785,1.0,182.1015248298645,0
89,0,54275,1.0,181.61680579185486,0
90,0,58407,1.0,174.977454662323,0
91,0,32176,1.0,173.7895257472992,0
92,0,89233,1.0,181.72665143013,0
93,0,36006,1.0,174.8085639476776,0
94,0,18811,1.0,177.06616592407227,0
95,0,80905,1.0,179.45376443862915,0
96,0,68401,1.0,183.62929511070251,0
97,0,23392,1.0,174.63859272003174,0
98,0,15661,1.0,176.803049325943,0
99,0,35000,1.0,182.09051513671875,0
100,0,74895,0.5,126.41330099105835,0
101,0,4271,0.5,147.85476160049438,0
102,0,56216,0.5,149.17303490638733,0
103,0,63251,0.5,161.2936282157898,0
104,0,75772,0.5,153.64443707466125,0
105,0,1945,0.5,129.53989481925964,0
106,0,27014,0.5,152.92864632606506,0
107,0,60632,0.5,148.03869652748108,0
108,0,64396,0.5,153.59143590927124,0
109,0,36376,0.5,153.36613512039185,0
110,0,85652,0.5,131.55556225776672,0
111,0,21002,0.5,151.6642951965332,0
112,0,4510,0.5,148.01502799987793,0
113,0,68246,0.5,151.93650913238525,0
114,0,64237,0.5,151.41268396377563,0
115,0,42962,0.5,145.87404894828796,0
116,0,9974,0.5,153.72227120399475,0
117,0,32768,0.5,146.1227421760559,0
118,0,97721,0.5,148.62708830833435,0
119,0,47338,0.5,150.35917925834656,0
120,0,5841,0.5,143.36009788513184,0
121,0,55103,0.5,149.07320380210876,0
122,0,18179,0.5,151.7105586528778,0
123,0,79062,0.5,150.1258225440979,0
124,0,46542,0.5,149.96346640586853,0
125,0,50018,0.5,148.4936339855194,0
126,0,55216,0.5,153.04764080047607,0
127,0,37175,0.5,147.45204162597656,0
128,0,88469,0.5,152.51096868515015,0
129,0,34383,0.5,145.53364205360413,0
130,0,59878,0.5,146.34424448013306,0
131,0,22895,0.5,147.57618713378906,0
132,0,89898,0.5,150.58573698997498,0
133,0,39729,0.5,155.54320693016052,0
134,0,86750,0.5,147.41407418251038,0
135,0,47526,0.5,148.65749502182007,0
136,0,17430,0.5,147.36871027946472,0
137,0,59891,0.5,148.0292410850525,0
138,0,31377,0.5,155.29412579536438,0
139,0,57626,0.5,148.905531167984,0
140,0,80390,0.5,148.48246788978577,0
141,0,49184,0.5,149.80786061286926,0
142,0,5802,0.5,146.48525595664978,0
143,0,76407,0.5,147.887469291687,0
144,0,532,0.5,123.75759744644165,0
145,0,30888,0.5,146.343505859375,0
146,0,17561,0.5,129.82117867469788,0
147,0,25553,0.5,147.75327014923096,0
148,0,39697,0.5,154.52663207054138,0
149,0,70300,0.5,144.12589645385742,0
150,0,47992,0.5,147.09041023254395,0
151,0,31482,0.5,150.7032437324524,0
152,0,41205,0.5,152.16848754882812,0
153,0,87385,0.5,106.18101525306702,0
154,0,71957,0.5,143.18083500862122,0
155,0,59065,0.5,154.78963470458984,0
156,0,57152,0.5,150.8092589378357,0
157,0,61601,0.5,147.28323316574097,0
158,0,8519,0.5,154.1874508857727,0
