id,run_id,timeStep,corridorRecommended
5,0,626,11
5,0,651,31
5,0,676,51
5,0,701,11
5,0,726,31
5,0,751,51
5,0,776,11
5,0,801,31
5,0,826,51
5,0,851,11
5,0,876,31
5,0,901,51
5,0,926,11
5,0,951,31
5,0,976,51
5,0,1001,11
5,0,1026,31
5,0,1051,51
5,0,1076,11
5,0,1101,31
5,0,1126,51
5,0,1151,11
5,0,1176,31
5,0,1201,51
5,0,1226,11
5,0,1251,31
5,0,1276,51
5,0,1301,11
6,0,26,11
6,0,51,31
6,0,76,51
6,0,101,11
6,0,126,31
6,0,151,51
6,0,176,11
6,0,201,31
6,0,226,51
6,0,251,11
6,0,276,31
6,0,301,51
6,0,326,11
6,0,351,31
6,0,376,51
6,0,401,11
6,0,426,31
6,0,451,51
6,0,476,11
6,0,501,31
6,0,526,51
6,0,551,11
6,0,576,31
6,0,601,51
6,0,626,11
6,0,651,31
6,0,676,51
6,0,701,11
6,0,726,31
6,0,751,51
6,0,776,11
6,0,801,31
6,0,826,51
6,0,851,11
6,0,876,31
6,0,901,51
6,0,926,11
6,0,951,31
6,0,976,51
6,0,1001,11
6,0,1026,31
6,0,1051,51
6,0,1076,11
6,0,1101,31
6,0,1126,51
6,0,1151,11
6,0,1176,31
6,0,1201,51
6,0,1226,11
6,0,1251,31
6,0,1276,51
6,0,1301,11
7,0,26,11
7,0,51,31
7,0,76,51
7,0,101,11
7,0,126,31
7,0,151,51
7,0,176,11
7,0,201,31
7,0,226,51
7,0,251,11
7,0,276,31
7,0,301,51
7,0,326,11
7,0,351,31
7,0,376,51
7,0,401,11
7,0,426,31
7,0,451,51
7,0,476,11
7,0,501,31
7,0,526,51
7,0,551,11
7,0,576,31
7,0,601,51
7,0,626,11
7,0,651,31
7,0,676,51
7,0,701,11
7,0,726,31
7,0,751,51
7,0,776,11
7,0,801,31
7,0,826,51
7,0,851,11
7,0,876,31
7,0,901,51
7,0,926,11
7,0,951,31
7,0,976,51
7,0,1001,11
7,0,1026,31
7,0,1051,51
7,0,1076,11
7,0,1101,31
7,0,1126,51
7,0,1151,11
7,0,1176,31
7,0,1201,51
7,0,1226,11
7,0,1251,31
7,0,1276,51
7,0,1301,11
8,0,26,11
8,0,51,31
8,0,76,51
8,0,101,11
8,0,126,31
8,0,151,51
8,0,176,11
8,0,201,31
8,0,226,51
8,0,251,11
8,0,276,31
8,0,301,51
8,0,326,11
8,0,351,31
8,0,376,51
8,0,401,11
8,0,426,31
8,0,451,51
8,0,476,11
8,0,501,31
8,0,526,51
8,0,551,11
8,0,576,31
8,0,601,51
8,0,626,11
8,0,651,31
8,0,676,51
8,0,701,11
8,0,726,31
8,0,751,51
8,0,776,11
8,0,801,31
8,0,826,51
8,0,851,11
8,0,876,31
8,0,901,51
8,0,926,11
8,0,951,31
8,0,976,51
8,0,1001,11
8,0,1026,31
8,0,1051,51
8,0,1076,11
8,0,1101,31
8,0,1126,51
8,0,1151,11
8,0,1176,31
8,0,1201,51
8,0,1226,11
8,0,1251,31
8,0,1276,51
8,0,1301,11
9,0,26,11
9,0,51,31
9,0,76,51
9,0,101,11
9,0,126,31
9,0,151,51
9,0,176,11
9,0,201,31
9,0,226,51
9,0,251,11
9,0,276,31
9,0,301,51
9,0,326,11
9,0,351,31
9,0,376,51
9,0,401,11
9,0,426,31
9,0,451,51
9,0,476,11
9,0,501,31
9,0,526,51
9,0,551,11
9,0,576,31
9,0,601,51
9,0,626,11
9,0,651,31
9,0,676,51
9,0,701,11
9,0,726,31
9,0,751,51
9,0,776,11
9,0,801,31
9,0,826,51
9,0,851,11
9,0,876,31
9,0,901,51
9,0,926,11
9,0,951,31
9,0,976,51
9,0,1001,11
9,0,1026,31
9,0,1051,51
9,0,1076,11
9,0,1101,31
9,0,1126,51
9,0,1151,11
9,0,1176,31
9,0,1201,51
9,0,1226,11
9,0,1251,31
9,0,1276,51
9,0,1301,11
10,0,26,11
10,0,51,31
10,0,76,51
10,0,101,11
10,0,126,31
10,0,151,51
10,0,176,11
10,0,201,31
10,0,226,51
10,0,251,11
10,0,276,31
10,0,301,51
10,0,326,11
10,0,351,31
10,0,376,51
10,0,401,11
10,0,426,31
10,0,451,51
10,0,476,11
10,0,501,31
10,0,526,51
10,0,551,11
10,0,576,31
10,0,601,51
10,0,626,11
10,0,651,31
10,0,676,51
10,0,701,11
10,0,726,31
10,0,751,51
10,0,776,11
10,0,801,31
10,0,826,51
10,0,851,11
10,0,876,31
10,0,901,51
10,0,926,11
10,0,951,31
10,0,976,51
10,0,1001,11
10,0,1026,31
10,0,1051,51
10,0,1076,11
10,0,1101,31
10,0,1126,51
10,0,1151,11
10,0,1176,31
10,0,1201,51
10,0,1226,11
10,0,1251,31
10,0,1276,51
10,0,1301,11
11,0,26,11
11,0,51,31
11,0,76,51
11,0,101,11
11,0,126,31
11,0,151,51
11,0,176,11
11,0,201,31
11,0,226,51
11,0,251,11
11,0,276,31
11,0,301,51
11,0,326,11
11,0,351,31
11,0,376,51
11,0,401,11
11,0,426,31
11,0,451,51
11,0,476,11
11,0,501,31
11,0,526,51
11,0,551,11
11,0,576,31
11,0,601,51
11,0,626,11
11,0,651,31
11,0,676,51
11,0,701,11
11,0,726,31
11,0,751,51
11,0,776,11
11,0,801,31
11,0,826,51
11,0,851,11
11,0,876,31
11,0,901,51
11,0,926,11
11,0,951,31
11,0,976,51
11,0,1001,11
11,0,1026,31
11,0,1051,51
11,0,1076,11
11,0,1101,31
11,0,1126,51
11,0,1151,11
11,0,1176,31
11,0,1201,51
11,0,1226,11
11,0,1251,31
11,0,1276,51
11,0,1301,11
12,0,26,11
12,0,51,31
12,0,76,51
12,0,101,11
12,0,126,31
12,0,151,51
12,0,176,11
12,0,201,31
12,0,226,51
12,0,251,11
12,0,276,31
12,0,301,51
12,0,326,11
12,0,351,31
12,0,376,51
12,0,401,11
12,0,426,31
12,0,451,51
12,0,476,11
12,0,501,31
12,0,526,51
12,0,551,11
12,0,576,31
12,0,601,51
12,0,626,11
12,0,651,31
12,0,676,51
12,0,701,11
12,0,726,31
12,0,751,51
12,0,776,11
12,0,801,31
12,0,826,51
12,0,851,11
12,0,876,31
12,0,901,51
12,0,926,11
12,0,951,31
12,0,976,51
12,0,1001,11
12,0,1026,31
12,0,1051,51
12,0,1076,11
12,0,1101,31
12,0,1126,51
12,0,1151,11
12,0,1176,31
12,0,1201,51
12,0,1226,11
12,0,1251,31
12,0,1276,51
12,0,1301,11
13,0,26,11
13,0,51,31
13,0,76,51
13,0,101,11
13,0,126,31
13,0,151,51
13,0,176,11
13,0,201,31
13,0,226,51
13,0,251,11
13,0,276,31
13,0,301,51
13,0,326,11
13,0,351,31
13,0,376,51
13,0,401,11
13,0,426,31
13,0,451,51
13,0,476,11
13,0,501,31
13,0,526,51
13,0,551,11
13,0,576,31
13,0,601,51
13,0,626,11
13,0,651,31
13,0,676,51
13,0,701,11
13,0,726,31
13,0,751,51
13,0,776,11
13,0,801,31
13,0,826,51
13,0,851,11
13,0,876,31
13,0,901,51
13,0,926,11
13,0,951,31
13,0,976,51
13,0,1001,11
13,0,1026,31
13,0,1051,51
13,0,1076,11
13,0,1101,31
13,0,1126,51
13,0,1151,11
13,0,1176,31
13,0,1201,51
13,0,1226,11
13,0,1251,31
13,0,1276,51
13,0,1301,11
14,0,26,11
14,0,51,31
14,0,76,51
14,0,101,11
14,0,126,31
14,0,151,51
14,0,176,11
14,0,201,31
14,0,226,51
14,0,251,11
14,0,276,31
14,0,301,51
14,0,326,11
14,0,351,31
14,0,376,51
14,0,401,11
14,0,426,31
14,0,451,51
14,0,476,11
14,0,501,31
14,0,526,51
14,0,551,11
14,0,576,31
14,0,601,51
14,0,626,11
14,0,651,31
14,0,676,51
14,0,701,11
14,0,726,31
14,0,751,51
14,0,776,11
14,0,801,31
14,0,826,51
14,0,851,11
14,0,876,31
14,0,901,51
14,0,926,11
14,0,951,31
14,0,976,51
14,0,1001,11
14,0,1026,31
14,0,1051,51
14,0,1076,11
14,0,1101,31
14,0,1126,51
14,0,1151,11
14,0,1176,31
14,0,1201,51
14,0,1226,11
14,0,1251,31
14,0,1276,51
14,0,1301,11
15,0,26,11
15,0,51,31
15,0,76,51
15,0,101,11
15,0,126,31
15,0,151,51
15,0,176,11
15,0,201,31
15,0,226,51
15,0,251,11
15,0,276,31
15,0,301,51
15,0,326,11
15,0,351,31
15,0,376,51
15,0,401,11
15,0,426,31
15,0,451,51
15,0,476,11
15,0,501,31
15,0,526,51
15,0,551,11
15,0,576,31
15,0,601,51
15,0,626,11
15,0,651,31
15,0,676,51
15,0,701,11
15,0,726,31
15,0,751,51
15,0,776,11
15,0,801,31
15,0,826,51
15,0,851,11
15,0,876,31
15,0,901,51
15,0,926,11
15,0,951,31
15,0,976,51
15,0,1001,11
15,0,1026,31
15,0,1051,51
15,0,1076,11
15,0,1101,31
15,0,1126,51
15,0,1151,11
15,0,1176,31
15,0,1201,51
15,0,1226,11
15,0,1251,31
15,0,1276,51
15,0,1301,11
16,0,26,11
