,vp
553,0.8002676105774162
554,0.8001818434274162
555,0.8001818434274162
556,0.8001818434274162
557,0.7990125602720886
558,0.7990125602720886
559,0.7984713421986377
560,0.7984713421986377
561,0.7984713421986377
562,0.8007810646515009
563,0.8012739865696716
564,0.8014693761309961
565,0.8012559415522522
566,0.7994297749081138
567,0.8003270267272772
568,0.7800916615611874
569,0.7800916615611874
570,0.7819957631114209
571,0.7819957631114209
572,0.7811691330289737
573,0.7811691330289737
574,0.802306385348824
575,0.802306385348824
576,0.7995563350738156
577,0.7995563350738156
578,0.7997559443061617
579,0.7997559443061617
580,0.8029902973424876
581,0.8029902973424876
582,0.6922768804020459
583,0.5844135068858433
584,0.47969829507861506
585,0.38892293669423555
586,0.3049716605267083
587,0.2343579246446694
588,0.17428261287628752
589,0.1275604437033321
590,0.08712505048716207
591,0.06126125282995155
592,0.042421606014921426
593,0.05845342112934801
594,0.018035084314857053
595,0.012054326539542044
596,0.008378028757165246
597,0.017917403309104782
598,0.007580005308479193
599,0.0050842023697089305
600,0.0015577986494829615
601,0.0010532188583955151
602,0.0007151108861416926
603,0.00047645892784291277
604,0.000306768986925142
605,0.00020518347053176324
606,0.00013478931989304932
607,0.0002835982132775234
608,8.798177324705192e-05
609,8.798177324705192e-05
610,5.835368997356404e-05
611,5.835368997356404e-05
612,3.8726007674402477e-05
613,3.8726007674402477e-05
614,2.6085671388527973e-05
615,2.6085671388527973e-05
616,1.7480444229518857e-05
617,1.7480444229518857e-05
618,1.1624458175513362e-05
619,1.1624458175513362e-05
620,7.588626978600191e-06
621,1.6015436310411582e-05
622,5.066858640985201e-06
623,1.699800844614873e-05
624,3.340055516044672e-06
625,3.340055516044672e-06
626,2.2010842055123416e-06
627,2.2010842055123416e-06
628,1.4430574097280297e-06
629,1.4430574097280297e-06
630,0.0020032036211262336
631,0.0012970152122921757
632,0.0020032036211262336
633,0.0020032036211262336
634,0.0020032036211262336
635,0.0020032036211262336
636,0.0020032036211262336
637,0.0020032036211262336
638,0.0012970152122921757
639,0.0067038218399980195
640,0.0067038218399980195
641,0.0067038218399980195
642,0.0067038218399980195
643,0.0067038218399980195
644,0.0067038218399980195
645,0.0067038218399980195
646,0.0067038218399980195
647,0.0067038218399980195
648,0.016503036674642587
649,0.016503036674642587
650,0.016503036674642587
651,0.029991910695381065
652,0.016503036674642587
653,0.016503036674642587
654,0.016503036674642587
655,0.029991910695381065
656,0.029991910695381065
657,0.03258248672731351
658,0.03258248672731351
659,0.03258248672731351
660,0.03258248672731351
661,0.03258248672731351
662,0.03258248672731351
663,0.03258248672731351
664,0.03258248672731351
665,0.04825354717818072
666,0.04825354717818072
667,0.04825354717818072
668,0.04825354717818072
669,0.04825354717818072
670,0.04825354717818072
671,0.04825354717818072
672,0.04825354717818072
673,0.0687901004050117
674,0.0687901004050117
675,0.0687901004050117
676,0.0687901004050117
677,0.0687901004050117
678,0.0687901004050117
679,0.0687901004050117
680,0.08988389045631107
681,0.08988389045631107
682,0.08988389045631107
683,0.08988389045631107
684,0.08988389045631107
685,0.08988389045631107
686,0.08988389045631107
687,0.11540786717009312
688,0.22354997434162477
689,0.22354997434162477
690,0.11540786717009312
691,0.11540786717009312
692,0.22354997434162477
693,0.22354997434162477
694,0.13753472092265873
695,0.13753472092265873
696,0.13753472092265873
697,0.13753472092265873
698,0.13753472092265873
699,0.13753472092265873
700,0.13753472092265873
701,0.13753472092265873
702,0.16201039175217344
703,0.16201039175217344
704,0.16201039175217344
705,0.16201039175217344
706,0.16201039175217344
707,0.16201039175217344
708,0.4634717142436924
709,0.4634717142436924
710,0.18627367646144613
711,0.36762606705202905
712,0.36762606705202905
713,0.18627367646144613
714,0.18627367646144613
715,0.18627367646144613
716,0.36762606705202905
717,0.36762606705202905
718,0.36762606705202905
719,0.20869248594839468
720,0.20869248594839468
721,0.20869248594839468
722,0.20869248594839468
723,0.20869248594839468
724,0.20869248594839468
725,0.20869248594839468
