id,run_id,timeStep,numberPedsInformed-PID12,numberPedsAll-PID12,percentageInformed-PID12
14,0,0.0,0,49,0.0
14,0,0.4000000000000057,0,49,0.0
14,0,0.8000000000000114,0,49,0.0
14,0,1.2000000000000028,33,50,0.66
14,0,1.6000000000000083,32,49,0.6530612244897959
14,0,2.0,49,49,1.0
15,0,0.0,0,82,0.0
15,0,0.4000000000000057,0,83,0.0
15,0,0.8000000000000114,0,83,0.0
15,0,1.2000000000000028,48,83,0.5783132530120482
15,0,1.6000000000000083,48,83,0.5783132530120482
15,0,2.0,84,84,1.0
16,0,0.0,0,36,0.0
16,0,0.4000000000000057,0,36,0.0
16,0,0.8000000000000114,0,36,0.0
16,0,1.2000000000000028,25,36,0.6944444444444444
16,0,1.6000000000000083,25,36,0.6944444444444444
16,0,2.0,37,37,1.0
17,0,0.0,0,77,0.0
17,0,0.4000000000000057,0,77,0.0
17,0,0.8000000000000114,0,77,0.0
17,0,1.2000000000000028,51,77,0.6623376623376623
17,0,1.6000000000000083,51,77,0.6623376623376623
17,0,2.0,77,77,1.0
18,0,0.0,0,56,0.0
18,0,0.4000000000000057,0,56,0.0
18,0,0.8000000000000114,0,56,0.0
18,0,1.2000000000000028,36,56,0.6428571428571429
18,0,1.6000000000000083,36,56,0.6428571428571429
18,0,2.0,56,56,1.0
19,0,0.0,0,91,0.0
19,0,0.4000000000000057,0,92,0.0
19,0,0.8000000000000114,0,92,0.0
19,0,1.2000000000000028,55,92,0.5978260869565217
19,0,1.6000000000000083,55,92,0.5978260869565217
19,0,2.0,91,91,1.0
20,0,0.0,0,45,0.0
20,0,0.4000000000000057,0,45,0.0
20,0,0.8000000000000114,0,45,0.0
20,0,1.2000000000000028,28,45,0.6222222222222222
20,0,1.6000000000000083,28,45,0.6222222222222222
20,0,2.0,45,45,1.0
21,0,0.0,0,86,0.0
21,0,0.4000000000000057,0,87,0.0
21,0,0.8000000000000114,0,87,0.0
21,0,1.2000000000000028,53,87,0.6091954022988506
21,0,1.6000000000000083,53,87,0.6091954022988506
21,0,2.0,87,87,1.0
22,0,0.0,0,63,0.0
22,0,0.4000000000000057,0,62,0.0
22,0,0.8000000000000114,0,62,0.0
22,0,1.2000000000000028,39,62,0.6290322580645161
22,0,1.6000000000000083,39,62,0.6290322580645161
22,0,2.0,63,63,1.0
23,0,0.0,0,86,0.0
23,0,0.4000000000000057,0,87,0.0
23,0,0.8000000000000114,0,89,0.0
23,0,1.2000000000000028,55,89,0.6179775280898876
23,0,1.6000000000000083,55,89,0.6179775280898876
23,0,2.0,89,89,1.0
24,0,0.0,0,17,0.0
24,0,0.4000000000000057,0,17,0.0
24,0,0.8000000000000114,0,17,0.0
24,0,1.2000000000000028,7,17,0.4117647058823529
24,0,1.6000000000000083,7,17,0.4117647058823529
24,0,2.0,18,18,1.0
25,0,0.0,0,68,0.0
25,0,0.4000000000000057,0,68,0.0
25,0,0.8000000000000114,0,68,0.0
25,0,1.2000000000000028,45,68,0.6617647058823529
25,0,1.6000000000000083,45,68,0.6617647058823529
25,0,2.0,68,68,1.0
26,0,0.0,0,39,0.0
26,0,0.4000000000000057,0,39,0.0
26,0,0.8000000000000114,0,39,0.0
26,0,1.2000000000000028,21,39,0.5384615384615384
26,0,1.6000000000000083,21,39,0.5384615384615384
26,0,2.0,40,40,1.0
27,0,0.0,0,80,0.0
27,0,0.4000000000000057,0,81,0.0
27,0,0.8000000000000114,0,81,0.0
27,0,1.2000000000000028,45,81,0.5555555555555556
27,0,1.6000000000000083,45,81,0.5555555555555556
27,0,2.0,81,81,1.0
28,0,0.0,0,31,0.0
28,0,0.4000000000000057,0,31,0.0
28,0,0.8000000000000114,0,31,0.0
28,0,1.2000000000000028,19,31,0.6129032258064516
28,0,1.6000000000000083,19,31,0.6129032258064516
28,0,2.0,31,31,1.0
29,0,0.0,0,62,0.0
29,0,0.4000000000000057,0,62,0.0
29,0,0.8000000000000114,0,63,0.0
29,0,1.2000000000000028,35,63,0.5555555555555556
29,0,1.6000000000000083,35,63,0.5555555555555556
29,0,2.0,63,63,1.0
30,0,0.0,0,53,0.0
30,0,0.4000000000000057,0,53,0.0
30,0,0.8000000000000114,0,53,0.0
30,0,1.2000000000000028,32,53,0.6037735849056604
30,0,1.6000000000000083,32,53,0.6037735849056604
30,0,2.0,47,53,0.8867924528301887
30,0,2.4000000000000057,47,53,0.8867924528301887
30,0,2.800000000000012,47,53,0.8867924528301887
30,0,3.200000000000003,53,53,1.0
31,0,0.0,0,94,0.0
31,0,0.4000000000000057,0,94,0.0
31,0,0.8000000000000114,0,95,0.0
31,0,1.2000000000000028,60,95,0.631578947368421
31,0,1.6000000000000083,60,95,0.631578947368421
31,0,2.0,95,95,1.0
32,0,0.0,0,29,0.0
32,0,0.4000000000000057,0,29,0.0
32,0,0.8000000000000114,0,29,0.0
32,0,1.2000000000000028,14,29,0.4827586206896552
32,0,1.6000000000000083,14,29,0.4827586206896552
32,0,2.0,30,30,1.0
33,0,0.0,0,69,0.0
33,0,0.4000000000000057,0,71,0.0
33,0,0.8000000000000114,0,71,0.0
33,0,1.2000000000000028,39,71,0.5492957746478874
33,0,1.6000000000000083,39,71,0.5492957746478874
33,0,2.0,72,72,1.0
34,0,0.0,0,41,0.0
34,0,0.4000000000000057,0,41,0.0
34,0,0.8000000000000114,0,41,0.0
34,0,1.2000000000000028,23,41,0.5609756097560976
34,0,1.6000000000000083,23,41,0.5609756097560976
34,0,2.0,41,41,1.0
35,0,0.0,0,87,0.0
35,0,0.4000000000000057,0,88,0.0
35,0,0.8000000000000114,0,88,0.0
35,0,1.2000000000000028,56,88,0.6363636363636364
35,0,1.6000000000000083,56,88,0.6363636363636364
35,0,2.0,90,90,1.0
36,0,0.0,0,31,0.0
36,0,0.4000000000000057,0,31,0.0
36,0,0.8000000000000114,0,30,0.0
36,0,1.2000000000000028,14,30,0.4666666666666667
36,0,1.6000000000000083,14,30,0.4666666666666667
36,0,2.0,30,30,1.0
37,0,0.0,0,77,0.0
37,0,0.4000000000000057,0,77,0.0
37,0,0.8000000000000114,0,77,0.0
37,0,1.2000000000000028,51,77,0.6623376623376623
37,0,1.6000000000000083,51,77,0.6623376623376623
37,0,2.0,78,78,1.0
38,0,0.0,0,62,0.0
38,0,0.4000000000000057,0,62,0.0
38,0,0.8000000000000114,0,62,0.0
38,0,1.2000000000000028,34,62,0.5483870967741935
38,0,1.6000000000000083,34,63,0.5396825396825397
38,0,2.0,63,63,1.0
39,0,0.0,0,107,0.0
39,0,0.4000000000000057,0,107,0.0
39,0,0.8000000000000114,0,107,0.0
39,0,1.2000000000000028,70,108,0.6481481481481481
39,0,1.6000000000000083,70,108,0.6481481481481481
39,0,2.0,109,109,1.0
40,0,0.0,0,33,0.0
40,0,0.4000000000000057,0,33,0.0
40,0,0.8000000000000114,0,32,0.0
40,0,1.2000000000000028,23,33,0.696969696969697
40,0,1.6000000000000083,23,33,0.696969696969697
40,0,2.0,34,34,1.0
41,0,0.0,0,74,0.0
41,0,0.4000000000000057,0,74,0.0
41,0,0.8000000000000114,0,74,0.0
